,training,target,algs,NB,trainsize,targetsize
0,0,0,"('tdea', 'aes256')",0.499603271484375,4096,16384
1,0,0,"('tdea', 'aes256')",0.4986724853515625,4096,32768
2,0,0,"('tdea', 'aes256')",0.5007247924804688,4096,65536
3,0,0,"('tdea', 'sha256')",0.50360107421875,4096,16384
4,0,0,"('tdea', 'sha256')",0.502532958984375,4096,32768
5,0,0,"('tdea', 'sha256')",0.498809814453125,4096,65536
6,0,0,"('tdea', 'sha256hmac')",0.49774169921875,4096,16384
7,0,0,"('tdea', 'sha256hmac')",0.4974365234375,4096,32768
8,0,0,"('tdea', 'sha256hmac')",0.49756622314453125,4096,65536
9,0,0,"('aes256', 'sha256')",0.503204345703125,4096,16384
10,0,0,"('aes256', 'sha256')",0.5012054443359375,4096,32768
11,0,0,"('aes256', 'sha256')",0.49953460693359375,4096,65536
12,0,0,"('aes256', 'sha256hmac')",0.500518798828125,4096,16384
13,0,0,"('aes256', 'sha256hmac')",0.500213623046875,4096,32768
14,0,0,"('aes256', 'sha256hmac')",0.49970245361328125,4096,65536
15,0,0,"('sha256', 'sha256hmac')",0.494140625,4096,16384
16,0,0,"('sha256', 'sha256hmac')",0.494903564453125,4096,32768
17,0,0,"('sha256', 'sha256hmac')",0.49875640869140625,4096,65536
18,0,0,"('tdea', 'aes256')",0.500396728515625,8192,16384
19,0,0,"('tdea', 'aes256')",0.5013275146484375,8192,32768
20,0,0,"('tdea', 'aes256')",0.49927520751953125,8192,65536
21,0,0,"('tdea', 'sha256')",0.50360107421875,8192,16384
22,0,0,"('tdea', 'sha256')",0.502532958984375,8192,32768
23,0,0,"('tdea', 'sha256')",0.498809814453125,8192,65536
24,0,0,"('tdea', 'sha256hmac')",0.50225830078125,8192,16384
25,0,0,"('tdea', 'sha256hmac')",0.5025634765625,8192,32768
26,0,0,"('tdea', 'sha256hmac')",0.5024337768554688,8192,65536
27,0,0,"('aes256', 'sha256')",0.503204345703125,8192,16384
28,0,0,"('aes256', 'sha256')",0.5012054443359375,8192,32768
29,0,0,"('aes256', 'sha256')",0.49953460693359375,8192,65536
30,0,0,"('aes256', 'sha256hmac')",0.497344970703125,8192,16384
31,0,0,"('aes256', 'sha256hmac')",0.4961090087890625,8192,32768
32,0,0,"('aes256', 'sha256hmac')",0.498291015625,8192,65536
33,0,0,"('sha256', 'sha256hmac')",0.505859375,8192,16384
34,0,0,"('sha256', 'sha256hmac')",0.505096435546875,8192,32768
35,0,0,"('sha256', 'sha256hmac')",0.5012435913085938,8192,65536
36,0,0,"('tdea', 'aes256')",0.499603271484375,16384,16384
37,0,0,"('tdea', 'aes256')",0.4986724853515625,16384,32768
38,0,0,"('tdea', 'aes256')",0.5007247924804688,16384,65536
39,0,0,"('tdea', 'sha256')",0.50360107421875,16384,16384
40,0,0,"('tdea', 'sha256')",0.502532958984375,16384,32768
41,0,0,"('tdea', 'sha256')",0.498809814453125,16384,65536
42,0,0,"('tdea', 'sha256hmac')",0.49774169921875,16384,16384
43,0,0,"('tdea', 'sha256hmac')",0.4974365234375,16384,32768
44,0,0,"('tdea', 'sha256hmac')",0.49756622314453125,16384,65536
45,0,0,"('aes256', 'sha256')",0.503204345703125,16384,16384
46,0,0,"('aes256', 'sha256')",0.5012054443359375,16384,32768
47,0,0,"('aes256', 'sha256')",0.49953460693359375,16384,65536
48,0,0,"('aes256', 'sha256hmac')",0.497344970703125,16384,16384
49,0,0,"('aes256', 'sha256hmac')",0.4961090087890625,16384,32768
50,0,0,"('aes256', 'sha256hmac')",0.498291015625,16384,65536
51,0,0,"('sha256', 'sha256hmac')",0.505859375,16384,16384
52,0,0,"('sha256', 'sha256hmac')",0.505096435546875,16384,32768
53,0,0,"('sha256', 'sha256hmac')",0.5012435913085938,16384,65536
54,1,0,"('tdea', 'aes256')",0.499603271484375,4096,16384
55,1,0,"('tdea', 'aes256')",0.4986724853515625,4096,32768
56,1,0,"('tdea', 'aes256')",0.5007247924804688,4096,65536
57,1,0,"('tdea', 'sha256')",0.49639892578125,4096,16384
58,1,0,"('tdea', 'sha256')",0.497467041015625,4096,32768
59,1,0,"('tdea', 'sha256')",0.501190185546875,4096,65536
60,1,0,"('tdea', 'sha256hmac')",0.50225830078125,4096,16384
61,1,0,"('tdea', 'sha256hmac')",0.5025634765625,4096,32768
62,1,0,"('tdea', 'sha256hmac')",0.5024337768554688,4096,65536
63,1,0,"('aes256', 'sha256')",0.496795654296875,4096,16384
64,1,0,"('aes256', 'sha256')",0.4987945556640625,4096,32768
65,1,0,"('aes256', 'sha256')",0.5004653930664062,4096,65536
66,1,0,"('aes256', 'sha256hmac')",0.502655029296875,4096,16384
67,1,0,"('aes256', 'sha256hmac')",0.5038909912109375,4096,32768
68,1,0,"('aes256', 'sha256hmac')",0.501708984375,4096,65536
69,1,0,"('sha256', 'sha256hmac')",0.494140625,4096,16384
70,1,0,"('sha256', 'sha256hmac')",0.494903564453125,4096,32768
71,1,0,"('sha256', 'sha256hmac')",0.49875640869140625,4096,65536
72,1,0,"('tdea', 'aes256')",0.499603271484375,8192,16384
73,1,0,"('tdea', 'aes256')",0.4986724853515625,8192,32768
74,1,0,"('tdea', 'aes256')",0.5007247924804688,8192,65536
75,1,0,"('tdea', 'sha256')",0.49639892578125,8192,16384
76,1,0,"('tdea', 'sha256')",0.497467041015625,8192,32768
77,1,0,"('tdea', 'sha256')",0.501190185546875,8192,65536
78,1,0,"('tdea', 'sha256hmac')",0.50225830078125,8192,16384
79,1,0,"('tdea', 'sha256hmac')",0.5025634765625,8192,32768
80,1,0,"('tdea', 'sha256hmac')",0.5024337768554688,8192,65536
81,1,0,"('aes256', 'sha256')",0.496795654296875,8192,16384
82,1,0,"('aes256', 'sha256')",0.4987945556640625,8192,32768
83,1,0,"('aes256', 'sha256')",0.5004653930664062,8192,65536
84,1,0,"('aes256', 'sha256hmac')",0.502655029296875,8192,16384
85,1,0,"('aes256', 'sha256hmac')",0.5038909912109375,8192,32768
86,1,0,"('aes256', 'sha256hmac')",0.501708984375,8192,65536
87,1,0,"('sha256', 'sha256hmac')",0.505859375,8192,16384
88,1,0,"('sha256', 'sha256hmac')",0.505096435546875,8192,32768
89,1,0,"('sha256', 'sha256hmac')",0.5012435913085938,8192,65536
90,1,0,"('tdea', 'aes256')",0.500396728515625,16384,16384
91,1,0,"('tdea', 'aes256')",0.5013275146484375,16384,32768
92,1,0,"('tdea', 'aes256')",0.49927520751953125,16384,65536
93,1,0,"('tdea', 'sha256')",0.49639892578125,16384,16384
94,1,0,"('tdea', 'sha256')",0.497467041015625,16384,32768
95,1,0,"('tdea', 'sha256')",0.501190185546875,16384,65536
96,1,0,"('tdea', 'sha256hmac')",0.50225830078125,16384,16384
97,1,0,"('tdea', 'sha256hmac')",0.5025634765625,16384,32768
98,1,0,"('tdea', 'sha256hmac')",0.5024337768554688,16384,65536
99,1,0,"('aes256', 'sha256')",0.496795654296875,16384,16384
100,1,0,"('aes256', 'sha256')",0.4987945556640625,16384,32768
101,1,0,"('aes256', 'sha256')",0.5004653930664062,16384,65536
102,1,0,"('aes256', 'sha256hmac')",0.502655029296875,16384,16384
103,1,0,"('aes256', 'sha256hmac')",0.5038909912109375,16384,32768
104,1,0,"('aes256', 'sha256hmac')",0.501708984375,16384,65536
105,1,0,"('sha256', 'sha256hmac')",0.494140625,16384,16384
106,1,0,"('sha256', 'sha256hmac')",0.494903564453125,16384,32768
107,1,0,"('sha256', 'sha256hmac')",0.49875640869140625,16384,65536
108,2,0,"('tdea', 'aes256')",0.499603271484375,4096,16384
109,2,0,"('tdea', 'aes256')",0.4986724853515625,4096,32768
110,2,0,"('tdea', 'aes256')",0.5007247924804688,4096,65536
111,2,0,"('tdea', 'sha256')",0.50360107421875,4096,16384
112,2,0,"('tdea', 'sha256')",0.502532958984375,4096,32768
113,2,0,"('tdea', 'sha256')",0.498809814453125,4096,65536
114,2,0,"('tdea', 'sha256hmac')",0.50225830078125,4096,16384
115,2,0,"('tdea', 'sha256hmac')",0.5025634765625,4096,32768
116,2,0,"('tdea', 'sha256hmac')",0.5024337768554688,4096,65536
117,2,0,"('aes256', 'sha256')",0.496795654296875,4096,16384
118,2,0,"('aes256', 'sha256')",0.4987945556640625,4096,32768
119,2,0,"('aes256', 'sha256')",0.5004653930664062,4096,65536
120,2,0,"('aes256', 'sha256hmac')",0.502655029296875,4096,16384
121,2,0,"('aes256', 'sha256hmac')",0.5038909912109375,4096,32768
122,2,0,"('aes256', 'sha256hmac')",0.501708984375,4096,65536
123,2,0,"('sha256', 'sha256hmac')",0.505859375,4096,16384
124,2,0,"('sha256', 'sha256hmac')",0.505096435546875,4096,32768
125,2,0,"('sha256', 'sha256hmac')",0.5012435913085938,4096,65536
126,2,0,"('tdea', 'aes256')",0.500396728515625,8192,16384
127,2,0,"('tdea', 'aes256')",0.5013275146484375,8192,32768
128,2,0,"('tdea', 'aes256')",0.49927520751953125,8192,65536
129,2,0,"('tdea', 'sha256')",0.49639892578125,8192,16384
130,2,0,"('tdea', 'sha256')",0.497467041015625,8192,32768
131,2,0,"('tdea', 'sha256')",0.501190185546875,8192,65536
132,2,0,"('tdea', 'sha256hmac')",0.50225830078125,8192,16384
133,2,0,"('tdea', 'sha256hmac')",0.5025634765625,8192,32768
134,2,0,"('tdea', 'sha256hmac')",0.5024337768554688,8192,65536
135,2,0,"('aes256', 'sha256')",0.496795654296875,8192,16384
136,2,0,"('aes256', 'sha256')",0.4987945556640625,8192,32768
137,2,0,"('aes256', 'sha256')",0.5004653930664062,8192,65536
138,2,0,"('aes256', 'sha256hmac')",0.502655029296875,8192,16384
139,2,0,"('aes256', 'sha256hmac')",0.5038909912109375,8192,32768
140,2,0,"('aes256', 'sha256hmac')",0.501708984375,8192,65536
141,2,0,"('sha256', 'sha256hmac')",0.494140625,8192,16384
142,2,0,"('sha256', 'sha256hmac')",0.494903564453125,8192,32768
