,training,target,algs,NB,trainsize,targetsize
0,0,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
1,0,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
2,0,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
3,0,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
4,1,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
5,1,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
6,1,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
7,1,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
8,2,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
9,2,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
10,2,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
11,2,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
12,3,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
13,3,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
14,3,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
15,3,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
16,4,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
17,4,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
18,4,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
19,4,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
20,5,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
21,5,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
22,5,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
23,5,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
24,6,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
25,6,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
26,6,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
27,6,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
28,7,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
29,7,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
30,7,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
31,7,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
32,8,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
33,8,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
34,8,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
35,8,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
36,9,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
37,9,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
38,9,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
39,9,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
40,10,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
41,10,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
42,10,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
43,10,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
44,11,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
45,11,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
46,11,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
47,11,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
48,12,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
49,12,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
50,12,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
51,12,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
52,13,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
53,13,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
54,13,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
55,13,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
56,14,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
57,14,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
58,14,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
59,14,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
60,15,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
61,15,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
62,15,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
63,15,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
64,16,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
65,16,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
66,16,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
67,16,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
68,17,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
69,17,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
70,17,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
71,17,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
72,18,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
73,18,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
74,18,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
75,18,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
76,19,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
77,19,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
78,19,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
79,19,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
80,20,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
81,20,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
82,20,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
83,20,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
84,21,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
85,21,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
86,21,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
87,21,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
88,22,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
89,22,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
90,22,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
91,22,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
92,23,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
93,23,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
94,23,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
95,23,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
96,24,0,"('tdea', 'aes256')",0.5002365112304688,8192,65536
97,24,1,"('tdea', 'aes256')",0.50030517578125,8192,65536
98,24,2,"('tdea', 'aes256')",0.49990081787109375,8192,65536
99,24,3,"('tdea', 'aes256')",0.5009002685546875,8192,65536
100,25,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
101,25,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
102,25,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
103,25,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
104,26,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
105,26,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
106,26,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
107,26,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
108,27,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
109,27,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
110,27,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
111,27,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
112,28,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
113,28,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
114,28,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
115,28,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
116,29,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
117,29,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
118,29,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
119,29,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
120,30,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
121,30,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
122,30,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
123,30,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
124,31,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
125,31,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
126,31,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
127,31,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
128,32,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
129,32,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
130,32,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
131,32,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
132,33,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
133,33,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
134,33,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
135,33,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
136,34,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
137,34,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
138,34,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
139,34,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
140,35,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
141,35,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
142,35,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
143,35,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
144,36,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
145,36,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
146,36,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
147,36,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
148,37,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
149,37,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
150,37,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
151,37,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
152,38,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
153,38,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
154,38,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
155,38,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
156,39,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
157,39,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
158,39,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
159,39,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
160,40,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
161,40,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
162,40,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
163,40,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
164,41,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
165,41,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
166,41,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
167,41,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
168,42,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
169,42,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
170,42,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
171,42,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
172,43,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
173,43,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
174,43,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
175,43,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
176,44,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
177,44,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
178,44,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
179,44,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
180,45,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
181,45,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
182,45,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
183,45,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
184,46,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
185,46,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
186,46,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
187,46,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
